state,totals
ALABAMA,1115
ALASKA,446
ARIZONA,1307
ARKANSAS,722
CALIFORNIA,38477
COLORADO,848
CONNECTICUT,1065
DELAWARE,125
DISTRICT OF COLUMBIA,33
FLORIDA,3225
GEORGIA,1828
HAWAII,395
IDAHO,417
ILLINOIS,2553
INDIANA,1724
IOWA,1779
KANSAS,1396
KENTUCKY,1029
LOUISIANA,1257
MAINE,274
MARYLAND,3908
MASSACHUSETTS,1491
MICHIGAN,1485
MINNESOTA,885
MISSISSIPPI,690
MISSOURI,879
MONTANA,273
NEBRASKA,615
NEVADA,1042
NEW HAMPSHIRE,386
NEW JERSEY,1754
NEW MEXICO,350
NEW YORK,2928
NORTH CAROLINA,2833
NORTH DAKOTA,421
OHIO,2630
OKLAHOMA,768
OREGON,4052
PENNSYLVANIA,1961
RHODE ISLAND,156
SOUTH CAROLINA,1591
SOUTH DAKOTA,0
TENNESSEE,1268
TEXAS,4728
UTAH,1580
VERMONT,159
VIRGINIA,2402
WASHINGTON,2173
WEST VIRGINIA,440
WISCONSIN,1167
WYOMING,276
