event_year,state
1972,UTAH
1973,OHIO
1973,WEST VIRGINIA
1974,TEXAS
1974,TEXAS
1975,CALIFORNIA
1976,CALIFORNIA
1977,CALIFORNIA
1977,MONTANA
1977,FLORIDA
1978,PENNSYLVANIA
1978,PENNSYLVANIA
1978,PENNSYLVANIA
1978,PENNSYLVANIA
1979,MISSISSIPPI
1979,PENNSYLVANIA
1980,PENNSYLVANIA
1980,IOWA
1980,TEXAS
1980,ARKANSAS
1981,ALABAMA
1982,ILLINOIS
1982,OHIO
1982,TENNESSEE
1982,TEXAS
1982,COLORADO
1982,SOUTH CAROLINA
1983,PENNSYLVANIA
1983,PENNSYLVANIA
1983,MISSISSIPPI
1983,NEW YORK
1983,TEXAS
1983,VIRGINIA
1983,SOUTH CAROLINA
1983,MARYLAND
1983,ILLINOIS
1983,COLORADO
1983,SOUTH CAROLINA
1983,NORTH CAROLINA
1983,NEW JERSEY
1983,SOUTH CAROLINA
1983,NEVADA
1983,GEORGIA
1983,NEVADA
1983,RHODE ISLAND
1984,MARYLAND
1984,COLORADO
1984,NEW YORK
1984,SOUTH CAROLINA
1984,MARYLAND
1984,UTAH
1984,INDIANA
1984,NEVADA
1984,PENNSYLVANIA
1984,MARYLAND
1984,MARYLAND
1984,MARYLAND
1984,MARYLAND
1984,INDIANA
1984,FLORIDA
1984,MARYLAND
1984,SOUTH CAROLINA
1984,MARYLAND
1984,VIRGINIA
1984,MARYLAND
1984,FLORIDA
1984,SOUTH CAROLINA
1984,SOUTH CAROLINA
1984,MARYLAND
1984,INDIANA
1984,SOUTH CAROLINA
1984,NEVADA
1984,SOUTH CAROLINA
1984,INDIANA
1984,MARYLAND
1984,OHIO
1984,PENNSYLVANIA
1984,NORTH CAROLINA
1984,NEW HAMPSHIRE
1984,MARYLAND
1984,MARYLAND
1984,NEVADA
1984,WISCONSIN
1984,NORTH CAROLINA
1984,MARYLAND
1984,MARYLAND
1984,MINNESOTA
1984,INDIANA
1984,OREGON
1984,TEXAS
1984,MARYLAND
1984,ARIZONA
1984,NORTH CAROLINA
1984,TEXAS
1984,NEVADA
1984,NEW HAMPSHIRE
1984,PENNSYLVANIA
1984,GEORGIA
1984,OREGON
1984,FLORIDA
1984,NEVADA
1984,NEVADA
1984,INDIANA
1984,MARYLAND
1984,MARYLAND
1984,MARYLAND
1984,KENTUCKY
1984,KENTUCKY
1984,MARYLAND
1984,OHIO
1984,UTAH
1984,INDIANA
1984,UTAH
1984,UTAH
1984,MARYLAND
1984,NEVADA
1984,TEXAS
1984,VIRGINIA
1984,GEORGIA
1984,MARYLAND
1984,MARYLAND
1984,MARYLAND
1984,MARYLAND
1984,PENNSYLVANIA
1984,MARYLAND
1984,MARYLAND
1984,MINNESOTA
1984,PENNSYLVANIA
1984,SOUTH CAROLINA
1984,MASSACHUSETS
1984,CONNECTICUT
1984,INDIANA
1984,LOUISIANA
1984,TEXAS
1984,UTAH
1984,COLORADO
1984,FLORIDA
1984,MARYLAND
1984,MARYLAND
1984,NEW YORK
1984,OHIO
1984,UTAH
1984,UTAH
1984,INDIANA
1984,SOUTH CAROLINA
1984,COLORADO
1984,INDIANA
1984,MARYLAND
1984,MARYLAND
1984,NEVADA
1984,SOUTH CAROLINA
1984,FLORIDA
1984,KANSAS
1984,LOUISIANA
1984,MISSISSIPPI
1984,NEW YORK
1984,NORTH CAROLINA
1984,OREGON
1984,PENNSYLVANIA
1984,TEXAS
1984,UTAH
1984,ALASKA
1984,COLORADO
1984,NORTH CAROLINA
1984,TEXAS
1984,VIRGINIA
1984,MARYLAND
1984,NEW JERSEY
1984,NEW MEXICO
1984,GEORGIA
1984,GEORGIA
1984,HAWAII
1984,INDIANA
1984,MARYLAND
1984,OREGON
1984,OREGON
1984,SOUTH CAROLINA
1984,VIRGINIA
1984,FLORIDA
1984,ILLINOIS
1984,OHIO
1984,OHIO
1984,OHIO
1984,UTAH
1984,UTAH
1984,ALASKA
1984,COLORADO
1984,FLORIDA
1984,INDIANA
1984,MARYLAND
1984,NEW YORK
1984,FLORIDA
1984,OKLAHOMA
1984,SOUTH CAROLINA
1984,TEXAS
1984,UTAH
1984,FLORIDA
1984,NORTH CAROLINA
1984,TEXAS
1984,KANSAS
1984,LOUISIANA
1984,MARYLAND
1984,TEXAS
1984,TEXAS
1984,UTAH
1984,ARIZONA
1984,MARYLAND
1984,MARYLAND
1984,OHIO
1984,TEXAS
1984,ALASKA
1984,GEORGIA
1984,INDIANA
1984,MINNESOTA
1984,OHIO
1984,TEXAS
1984,CONNECTICUT
1984,ILLINOIS
1984,KENTUCKY
1984,NEW JERSEY
1984,NEW MEXICO
1984,OHIO
1984,TEXAS
1984,TEXAS
1984,UTAH
1984,CALIFORNIA
1984,MISSISSIPPI
1984,TEXAS
1984,UTAH
1984,FLORIDA
